E,x,p,e,r,i,m,e,n,t
A,m,o,u,n,t
R,u,n,t,i,m,e
2a,10,1.4781951904296875e-05
2a,50,2.4080276489257812e-05
2a,100,5.2928924560546875e-05
2a,500,0.0005888938903808594
2a,1000,0.0010609626770019531
2a,1500,0.0017931461334228516
2a,2000,0.0025370121002197266
2a,3000,0.004335880279541016
2a,5000,0.008253812789916992
2b,10,6.9141387939453125e-06
2b,50,1.0967254638671875e-05
2b,100,2.4080276489257812e-05
2b,500,0.00013303756713867188
2b,1000,0.0004131793975830078
2b,1500,0.0008509159088134766
2b,2000,0.0009059906005859375
2b,3000,0.0014009475708007812
2b,5000,0.0023670196533203125
2ca,10,3.814697265625e-05
2ca,25,0.00017380714416503906
2ca,50,0.0009760856628417969
2ca,100,0.009296894073486328
2cb,10,1.4066696166992188e-05
2cb,25,1.9788742065429688e-05
2cb,50,5.793571472167969e-05
2cb,100,0.000164031982421875
